Row,mr,Overall,Prevent,Detect,Respond,Health,Norms,Risk,Covid,BUAPC,UP,MA,IM,GDP,HDI,IE,RE,CH,AL,OB,SM,CD,RBP,IN,BCG,ON,PL
Afghanistan,-3.26194569752034,3.18469251706084,23.5,44.8,2.86838428403424,4.58257569495584,7.50333259292163,542.89,4.31869765384049,4.97976455149237,649.995025,19.5,-3.86911550441687,6.21860011969173,-0.676756972627545,-1741.7560104676,-1.661400122337,-1.20415945787923,0.2,-3.47815842279828,23.5,3.10031214338668,5.53172667437573,-6,-4.58257569495584,3.61091791264422,4.05937628213875
Andorra,-2.73743866010171,3.12439988476312,27.9,14.2,3.12439988476312,3.03315017762062,5.69209978830308,6972.25,5.35213997377223,9.71463182892435,7754.915844,46.2,-0.993251773010283,10.618542985145,-0.313049516849971,-1649.03320160632,-3.1360398778598,-0.223606797749979,11,-2.50959926237837,33.8,2.58132576134807,4.32434966208793,-5.34789678284837,-2,3.49650756146648,2.36281276827292
Armenia,-3.89182029811063,3.68893700576474,56.7,60.8,3.81444181292656,5.06951674225463,7.07813534767456,2540.16,6.25332095678015,9.02793389308983,3987.796201,36.6,-2.39789527279837,8.43879912398823,-0.448330235429198,-1656.5328249087,-0.498303812527704,-0.921954445729289,5.5,-2.87356463957978,26.7,2.81471841433133,5.04975246918104,-6.66333249958307,-0,3.49650756146648,3.49741767082765
Australia,-4.24738013219687,4.22651405186008,68.9,97.3,4.03919795861678,7.96868872525461,8.77496438739212,6304.36,8.49174717681482,15.686319883357,7398.064144,37.5,-1.1314021114911,10.9133961239233,-0.130384048104053,-1648.97301372703,-1.49405290465942,-0.670820393249936,10.5,-2.18605127673809,16.2,2.08775947866345,3.89871773792359,-6.04979338490167,-2,3.2188758248682,2.1828679373078
Austria,-3.19115331030154,3.88196803832815,57.4,73.2,3.48428327126186,6.82641926635041,7.26636084983398,7157.16,7.20819297584433,11.5340890136152,3398.540209,44.5,-1.06471073699243,10.825302995053,-0.219089023002066,-1547.29247396864,0.371963798824929,-0.547722557505166,12,-2.87919845729804,29.1,2.25061711467713,4.58257569495584,-6.07453701939498,-2,2.56494935746154,2.5530834895227
Azerbaijan,-4.21202612139557,3.24595156656959,30.8,45,2.94338265844167,4.23083916026124,6.01664358259653,2937.64,4.87245365269914,10.101901825102,3100.2624,32.6,-2.95491027903374,8.47512041499433,-0.446094160463909,-1647.15208769561,-4.48439707442734,-1,4.4,-2.89037175789616,19.6,2.81050475771048,4.94974746830583,-6,-1.4142135623731,3.29583686600433,3.01643209212623
Belgium,-1.65822807660353,3.93649718310217,63.5,62.5,3.61648815426562,7.77817459305202,7.72657750883274,6115.24,7.69355604370964,11.8929499439374,9604.196001,41.6,-1.06471073699243,10.7389369245657,-0.2,-1574.5196092777,-1.00188300496052,-0.5,11.1,-2.76000994003292,25,2.25061711467713,4.18330013267038,-5.59464029227975,-2,3.09104245335832,2.57242146773829
Bangladesh,-4.215507396021,3.27106631018859,27.3,50.9,2.84798256733007,3.83405790253616,7.24568837309472,1936,5.99233226523793,6.01933772424342,1341.903424,27.9,-3.22286784613774,7.55433482372575,-0.589915248150105,-1648.97301372703,-0.586867476749747,-1.11803398874989,0,-3.53514535417189,39.1,2.78495330016767,4.96990945591567,-6.26099033699941,-0,3.91202300542815,4.13709620050175
Bosnia and Herzegovina,-3.46924794029043,3.49795799253531,36.7,41.7,3.72771973799832,6.18869937870632,6.14817045957576,2580.64,5.84360343875466,10.9256150928123,2327.580025,43.3,-1.6094379124341,8.71160799589757,-0.433589667773576,-1681.3797905292,-1.84259049065911,-0.921954445729289,7.1,-2.99573227355399,38.3,2.61099877121762,5.54977477020464,-6.44204936336256,-2,3.58351893845611,3.34260337938747
Bolivia,-2.72351442679979,3.29580121024344,44,33.1,3.07936344859417,3.86005181312376,6.96419413859206,2590.81,5.55546743225128,8.68636757741693,4819.830625,25.3,-3.08190996979504,8.17526610411206,-0.512835256198323,-1663.31957242137,-4.95679164179691,-0.974679434480896,4.4,-2.87356463957978,23.5,2.58132576134807,4.23083916026124,-6,-3,3.80666248977032,3.1098919612507
